#node	x	y	z
wndr215	-35	35	100
wndr226	-585	140	100
wndr231	-660	1530	100
wndr248	-660	1640	100
wndr217 -90	1490	0
wndr242	-20	1580	0
wndr236	-35	1680	0
wndr235	-130	1690	0
wndr224 265	1520	0
wndr230 100	1320	0
wndr222	265	1180	0
wndr241 265	840	0
wndr225 100	630	0
wndr223 265	500	0
wndr219	580	430	0
wndr220	435	370	0
wndr233	390	250	0
wndr213	250	300	0
wndr227	-2530	2010	100
wndr211	-2703	3290	100
wndr214	-2787	4660	100
wndr218	-2534	2833	-250
wndr210	-3883 3290 -95
wndr237	-583 4021 100
wndr245 -667 5117 100
wndr232	-667 5026 100
wndr238	-583 5274 -250
wndr240	-583 3564 -250
wndr239	681 3655 -250
wndr243	766 640 -250
wndr244	-583 5117 -600
wndr247	513 5026 -600
wndr246	766 3290 -600
wndr249	766 731 -600
wndr212 4016 1462 -600	
wndr221	2667 1553 -600
wndr216	2667 822 -600
